name,date,value
C,2001-5-30,20.24
C,2001-6-30,20.77
C,2001-7-30,20.75
C,2001-8-28,20.77
C,2001-9-26,19.75
C,2001-10-28,19.21
C,2001-11-31,20.14
C,2002-0-30,18.83
C,2002-1-27,19.89
C,2002-2-29,19.85
C,2002-3-29,19.82
C,2002-4-29,19.99
C,2002-5-29,19.57
C,2002-6-31,19.25
C,2002-7-29,18.16
C,2002-8-29,18.70
C,2002-9-30,18.73
C,2002-10-29,17.50
C,2002-11-31,17.26
C,2003-0-31,18.25
C,2003-1-28,18.54
C,2003-2-31,17.21
C,2003-3-30,18.02
C,2003-4-30,18.50
C,2003-5-30,18.52
C,2003-6-31,17.97
C,2003-7-31,17.78
C,2003-8-30,18.31
C,2003-9-31,17.00
C,2003-10-30,18.47
C,2003-11-31,18.60
C,2004-0-31,18.20
C,2004-1-29,18.93
C,2004-2-31,17.75
C,2004-3-30,17.95
C,2004-4-30,18.29
C,2004-5-30,17.14
C,2004-6-31,16.33
C,2004-7-30,17.12
C,2004-8-30,18.17
C,2004-9-31,17.99
C,2004-10-30,19.70
C,2004-11-31,20.71
C,2005-0-31,19.82
C,2005-1-28,19.47
C,2005-2-31,18.63
C,2005-3-30,18.52
C,2005-4-31,19.37
C,2005-5-30,19.85
C,2005-6-31,19.47
C,2005-7-31,19.16
C,2005-8-30,18.77
C,2005-11-3,19.63
C,2006-0-4,19.01
C,2006-1-2,18.33
C,2006-2-1,17.79
C,2006-3-2,17.69
C,2006-4-1,17.69
C,2006-5-1,18.25
C,2006-6-2,17.83
C,2006-7-2,17.43
C,2006-8-2,18.06
C,2006-9-1,17.66
C,2006-10-2,17.20
C,2006-11-1,16.62
C,2007-0-2,15.81
C,2007-1-3,16.10
C,2007-2-3,15.63
C,2007-3-1,14.94
C,2007-4-5,15.15
C,2007-5-2,15.97
C,2007-6-2,16.36
C,2007-7-5,15.70
C,2007-8-2,14.91
C,2007-9-4,14.59
C,2007-10-4,13.97
C,2007-11-3,13.17
C,2008-0-3,13.92
C,2008-1-7,14.86
C,2008-5-1,15.51
C,2008-6-2,15.95
C,2008-7-3,16.18
C,2008-8-3,15.38
C,2008-9-6,15.57
C,2008-10-2,15.28
C,2008-11-3,15.02
C,2009-0-2,15.93
C,2009-1-1,15.84
C,2009-2-5,15.86
C,2009-3-7,15.47
C,2009-4-1,16.13
C,2009-5-4,16.78
C,2009-6-2,17.32
C,2009-7-1,17.22
C,2009-8-5,16.86
C,2009-9-2,16.84
C,2009-10-2,17.32
C,2009-11-2,16.28
C,2010-0-5,16.22
C,2010-1-7,16.60
C,2010-2-7,17.28
C,2010-3-5,18.06
C,2010-4-15,18.19
C,2010-6-6,18.48
C,2010-6-30,17.87
C,2010-8-11,17.15
C,2010-9-2,17.18
C,2010-10-3,16.72
C,2010-11-7,16.08
C,2011-0-2,15.82
C,2011-1-8,14.99
C,2011-2-8,15.26
C,2011-3-3,16.16
C,2011-4-2,16.17
C,2011-5-5,16.28
C,2011-5-27,16.28
C,2011-6-8,17.28
C,2011-7-3,17.39
C,2011-8-10,18.00
C,2011-9-9,17.71
C,2011-10-7,17.32
C,2011-11-4,17.06
C,2012-0-8,16.97
C,2012-1-5,16.52
C,2012-2-11,17.09
C,2012-3-8,17.55
C,2012-4-9,17.35
C,2012-5-10,17.72
C,2012-6-4,18.33
C,2012-7-10,18.94
C,2012-8-2,19.30
C,2012-9-5,19.82
C,2012-10-4,19.22
C,2012-11-2,18.70
C,2013-0-5,17.85
C,2013-1-8,17.08
C,2013-2-11,17.14
C,2013-3-7,17.86
C,2013-4-8,18.73
C,2013-5-9,17.81
C,2013-6-7,17.63
C,2013-6-12,17.63
C,2013-7-4,15.97
C,2013-8-11,16.98
C,2013-9-10,17.25
C,2013-10-9,18.16
C,2013-11-6,17.89
C,2014-0-1,17.94
C,2014-1-8,18.33
C,2014-2-3,17.53
C,2014-3-10,17.63
C,2014-4-7,16.93
C,2014-5-8,16.19
C,2014-6-6,17.14
C,2014-7-11,16.40
C,2014-8-1,16.72
C,2014-9-3,17.66
C,2014-10-8,17.47
C,2014-11-7,17.59
C,2015-0-6,16.70
C,2015-1-5,16.49
C,2015-2-7,16.64
C,2015-3-13,15.75
C,2015-4-13,16.85
C,2015-5-6,16.79
C,2015-6-12,16.15
C,2015-7-6,14.73
C,2015-8-5,15.62
C,2015-9-4,16.19
C,2015-10-7,17.15
C,2015-11-4,16.46
C,2016-0-2,16.04
C,2016-1-2,15.59
C,2016-2-3,14.60
C,2016-3-7,13.91
C,2016-4-6,13.22
C,2016-5-5,12.38
C,2016-6-4,12.24
C,2016-7-6,11.30
C,2016-8-8,10.95
C,2016-9-7,9.84
C,2016-10-5,9.20
C,2016-11-4,8.73
C,2017-0-7,9.35
C,2017-1-8,8.44
C,2017-2-7,7.74
C,2017-3-9,6.97
C,2017-4-6,7.00
C,2017-5-3,6.85
C,2017-6-7,7.32
C,2017-7-2,6.48
C,2017-8-6,7.38
C,2017-9-5,8.37
C,2017-10-12,9.29
C,2017-11-9,10.16
C,2018-0-3,11.04
C,2018-1-8,11.86
C,2018-2-7,12.76
C,2018-3-1,13.59
C,2018-4-6,14.00
C,2018-5-10,14.94
C,2018-6-7,14.66
C,2018-7-1,14.97
C,2018-8-3,15.45
C,2018-9-5,15.38
C,2018-10-8,14.40
C,2018-11-2,14.28
C,2019-0-4,13.34
C,2019-1-6,12.42
C,2019-2-2,13.31
C,2019-3-7,14.08
C,2019-4-4,14.24
C,2019-5-9,13.30
C,2019-6-6,14.21
C,2019-7-5,15.15
C,2019-8-9,15.21
C,2019-9-5,16.18
C,2019-10-3,16.04
C,2019-11-6,16.09
C,2020-0-5,15.77
C,2020-1-4,16.77
C,2020-2-4,16.33
C,2020-3-2,16.72
C,2020-4-2,17.07
Java,2001-5-30,26.49
Java,2001-6-30,25.03
Java,2001-7-30,24.66
Java,2001-8-28,24.82
Java,2001-9-26,25.68
Java,2001-10-28,24.37
Java,2001-11-31,24.20
Java,2002-0-30,24.06
Java,2002-1-27,24.01
Java,2002-2-29,24.41
Java,2002-3-29,25.05
Java,2002-4-29,25.19
Java,2002-5-29,24.20
Java,2002-6-31,24.53
Java,2002-7-29,22.89
Java,2002-8-29,24.48
Java,2002-9-30,24.20
Java,2002-10-29,24.12
Java,2002-11-31,24.23
Java,2003-0-31,24.79
Java,2003-1-28,24.78
Java,2003-2-31,24.60
Java,2003-3-30,24.66
Java,2003-4-30,23.11
Java,2003-5-30,22.34
Java,2003-6-31,23.21
