股票代码,股票名称,19年EPS,20年EPS,21年EPS,22年EPS,报告日期,研究机构,研究员,研报
sz000651,格力电器,--,4.14,4.51,--,2020-04-15,海通证券,陈子仪/刘璐/朱默辰/李阳,摘要
sh600323,瀚蓝环境,1.19,1.35,1.74,2.03,2020-04-15,申港证券,曹旭特,摘要
sh603686,龙马环卫,0.65,1.0,1.0,1.00,2020-04-15,山西证券,张婉姝,摘要
sz002600,领益智造,--,0.44,0.55,--,2020-04-15,广发证券,许兴军/王亮/彭雾,摘要
sz002594,比 亚 迪,--,0.93,1.43,--,2020-04-15,华创证券,张程航,摘要
sh600933,爱 柯 迪,0.52,0.55,0.68,0.80,2020-04-15,天风证券,邓学/娄周鑫,摘要
sz002382,蓝帆医疗,0.51,0.78,0.93,1.08,2020-04-15,光大证券,刘晓波/王琦,摘要
sz300065,海 兰 信,0.26,0.27,0.35,--,2020-04-15,中金公司,黄乐平/尹会伟,摘要
sh600323,瀚蓝环境,1.19,1.43,1.65,1.86,2020-04-15,兴业证券,蔡屹,摘要
sz300034,钢研高纳,0.35,0.36,0.42,0.47,2020-04-15,华泰证券,李斌/王宗超/何亮/邱乐园/江翰博,摘要
sh601636,旗滨集团,0.52,0.55,0.67,0.77,2020-04-15,华泰证券,方晏荷/鲍荣富/张雪蓉,摘要
sz002191,劲嘉股份,0.60,0.67,0.79,0.91,2020-04-15,华泰证券,陈羽锋/倪娇娇,摘要
sz002025,航天电器,0.94,1.08,1.28,1.53,2020-04-15,华泰证券,王宗超/何亮,摘要
sz002025,航天电器,0.94,1.08,1.26,1.49,2020-04-15,方正证券,孟祥杰,摘要
sz002859,洁美科技,0.46,1.16,1.56,2.01,2020-04-15,兴业证券,谢恒/代凯燕/姚康,摘要
sz002460,赣锋锂业,--,0.91,0.94,--,2020-04-15,中信建投证券,赵鑫/胡英粲/李木森,摘要
sh600754,锦江酒店,1.14,0.46,1.23,1.47,2020-04-15,东吴证券,汤军,摘要
sh600919,江苏银行,1.18,1.26,1.36,--,2020-04-15,广发证券,倪军/屈俊/万思华,摘要
sz000656,金科股份,1.05,1.34,1.68,2.10,2020-04-15,中达证券,申思聪/蔡鸿飞/诸葛莲昕,摘要
sh603396,金辰股份,--,0.94,1.22,--,2020-04-15,世纪证券,赵晓闯,摘要
sh603686,龙马环卫,0.65,0.8,0.96,1.12,2020-04-15,海通证券,佘炜超/戴元灿/杨震,摘要
sz000651,格力电器,--,3.49,4.18,--,2020-04-15,中信证券,纪敏/汪浩,摘要
sz002938,鹏鼎控股,1.27,1.39,1.77,2.11,2020-04-15,华创证券,耿琛,摘要
sh600323,瀚蓝环境,1.19,1.35,1.67,1.80,2020-04-15,天风证券,郭丽丽/石家骏,摘要
sz000651,格力电器,--,3.87,4.3,--,2020-04-15,华西证券,汪玲,摘要
sh600167,联美控股,--,0.88,0.98,--,2020-04-15,广发证券,郭鹏/许洁,摘要
sz300138,晨光生物,--,0.5,0.62,--,2020-04-15,长城证券,刘鹏/苏剑晓,摘要
sz002191,劲嘉股份,0.60,0.75,0.9,1.07,2020-04-15,光大证券,黎泉宏,摘要
sh600557,康缘药业,0.86,1.03,1.27,1.48,2020-04-15,西南证券,朱国广/陈进,摘要
sh601966,玲珑轮胎,1.41,1.52,1.73,1.98,2020-04-15,银河证券,王婷,摘要
sh600933,爱 柯 迪,0.52,0.51,0.6,0.67,2020-04-15,西南证券,宋伟健,摘要
sh600795,国电电力,0.09,0.16,0.23,0.27,2020-04-15,申万宏源研究,刘晓宁/王璐/查浩/邹佩轩,摘要
sz002373,千方科技,0.69,0.79,0.95,1.19,2020-04-15,中信证券,杨泽原/顾海波/刘雯蜀,摘要
sz000656,金科股份,1.05,1.31,1.65,2.07,2020-04-15,华创证券,袁豪,摘要
sz002191,劲嘉股份,0.60,0.68,0.78,0.90,2020-04-15,东吴证券,史凡可/马莉/傅嘉成,摘要
sz002191,劲嘉股份,0.60,0.68,0.8,0.91,2020-04-15,中银国际,杨志威/刘凯娜,摘要
sh603258,电魂网络,--,1.63,2.19,--,2020-04-15,民生证券,刘欣/张昱/钟奇,摘要
sz002459,晶澳科技,1.27,1.05,1.31,1.60,2020-04-15,新时代证券,开文明,摘要
sz002594,比 亚 迪,--,0.65,1.28,--,2020-04-15,新时代证券,开文明,摘要
sh603489,八方股份,3.50,2.69,4.3,5.40,2020-04-15,天风证券,邹润芳,摘要
sz002191,劲嘉股份,0.60,0.68,0.82,0.97,2020-04-15,东北证券,唐凯,摘要
sh600933,爱 柯 迪,0.52,0.48,0.57,0.72,2020-04-15,华西证券,崔琰,摘要
sh601966,玲珑轮胎,1.41,1.43,1.9,2.23,2020-04-15,长城证券,孙志东/张玉龙,摘要
sh600406,国电南瑞,--,1.15,1.29,--,2020-04-15,华泰证券,黄斌/孙纯鹏,摘要
sh601319,中国人保,0.51,0.38,0.42,--,2020-04-15,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601336,新华保险,4.67,4.52,4.96,--,2020-04-15,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601601,中国太保,3.06,3.04,3.77,--,2020-04-15,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601318,中国平安,8.41,7.69,8.86,--,2020-04-15,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sh601628,中国人寿,2.05,1.75,2.02,--,2020-04-15,申万宏源研究,马鲲鹏/王丛云/葛玉翔/华天行/许旖珊,摘要
sz300575,中旗股份,1.13,2.32,2.76,--,2020-04-15,中金公司,,
sh600933,爱 柯 迪,0.52,0.57,0.69,0.79,2020-04-15,国泰君安,吴晓飞/徐伟东/陈麟瓒,摘要
sz000625,长安汽车,--,0.84,1.42,--,2020-04-15,国盛证券,程似骐,摘要
sh600104,上汽集团,2.19,1.98,2.09,2.20,2020-04-15,银河证券,李泽晗,摘要
sh600323,瀚蓝环境,1.19,1.33,1.6,1.80,2020-04-15,国泰君安,徐强/邵潇,摘要
sh601636,旗滨集团,0.52,0.53,0.67,0.80,2020-04-15,国泰君安,鲍雁辛/赵晨阳,摘要
